zillaID,constituencyID,name,img,party,affidavit,election_fund,tax_return
4,125,মোঃ সাব্বির আহমেদ,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/704168681b714fa4b3d137ac84003d3c_0_2.jpg?filePath=0/candidates/,স্বতন্ত্র,মোঃ সাব্বির আহমেদ_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5d60949a77c345c3a829a225cad7b631_0_2.pdf?filePath=0/candidates/&format=2,মোঃ সাব্বির আহমেদ_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/301caccdb25d496c9b6177bf8dd3e8ad_0_2.pdf?filePath=0/candidates/&format=2,মোঃ সাব্বির আহমেদ_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/28248b5b3ec7448d848b070a6f9e8534_0_2.pdf?filePath=0/candidates/&format=2
4,125,মুহাম্মদ মুস্তাফিজুর রহমান,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/4c4d3d7dbc654f2f8908c55d51e8eeda_0_2.jpg?filePath=0/candidates/,বাংলাদেশ লেবার পার্টি,মুহাম্মদ মুস্তাফিজুর রহমান_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/b0f6013dde8e44f3b0548c84918f3e44_0_2.pdf?filePath=0/candidates/&format=2,মুহাম্মদ মুস্তাফিজুর রহমান_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/63245486582e4eaebaf420870a70f93f_0_2.pdf?filePath=0/candidates/&format=2,মুহাম্মদ মুস্তাফিজুর রহমান_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/067629936e6c4096a3cfc9dc840a577a_0_2.pdf?filePath=0/candidates/&format=2
4,125,মাহমুদা আলম মিতু,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/d5ee3c7fb5f345bda4c839a430e6e73f_0_2.jpg?filePath=0/candidates/,জাতীয় নাগরিক পার্টি-এনসিপি,মাহমুদা আলম মিতু_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/92c9b9b3828340cba900b69421fd6cfb_0_2.pdf?filePath=0/candidates/&format=2,মাহমুদা আলম মিতু_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/8b46ebc5f45846c393a5983427535d18_0_2.pdf?filePath=0/candidates/&format=2,মাহমুদা আলম মিতু_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/10291063102d4cb397eeec5af346d41a_0_2.pdf?filePath=0/candidates/&format=2
4,125,"এম, মঈন আলম ফিরোজী",https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/a169bed250b3448793b672b3a5bcba12_0_2.jpg?filePath=0/candidates/,স্বতন্ত্র,"এম, মঈন আলম ফিরোজী_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/8cf53ca766ad43138b442d65cefd540c_0_2.pdf?filePath=0/candidates/&format=2","এম, মঈন আলম ফিরোজী_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/eb5eb5bc29ac44c78ca8553a14147f4f_0_2.pdf?filePath=0/candidates/&format=2","এম, মঈন আলম ফিরোজী_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f226ba7560904713bb2f7c0ab21009cd_0_2.pdf?filePath=0/candidates/&format=2"
4,125,রফিকুল ইসলাম জামাল,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3ce9f446daa24bbbb2911198e61b8040_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,রফিকুল ইসলাম জামাল_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/bd98070a7f7945109680f48106738c7a_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/b85819675bac4021aa70c31f2228ccc0_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/9edb85f542154dd3a71373dd2794bfce_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ জসীম উদ্দিন তালুকদার,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f4f5ca0d35c943acbab98cc8274d309b_0_2.jpg?filePath=0/candidates/,জনতার দল,মোঃ জসীম উদ্দিন তালুকদার_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f4eafe632bd44c1eb1192eb0aeb4f878_0_2.pdf?filePath=0/candidates/&format=2,মোঃ জসীম উদ্দিন তালুকদার_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/df82ac898b62486182806dc616d81d38_0_2.pdf?filePath=0/candidates/&format=2,মোঃ জসীম উদ্দিন তালুকদার_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/61bf406aaa5046bda262a2a73371761f_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ গোলাম আজম,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/b36b8ae7de7245c49e63021168e8c7e0_0_2.JPG?filePath=0/candidates/,স্বতন্ত্র,মোঃ গোলাম আজম_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/0d67716b890942b58d92b27274fffdb8_0_2.pdf?filePath=0/candidates/&format=2,মোঃ গোলাম আজম_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/8f882f2f75c54b7e9482426cf629ce02_0_2.pdf?filePath=0/candidates/&format=2,মোঃ গোলাম আজম_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/29adae6c752e4f23984d9cf227c420bd_0_2.pdf?filePath=0/candidates/&format=2
4,125,রফিকুল ইসলাম জামাল,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/35e0836be64c44b19a722a19c4d6c0a1_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,রফিকুল ইসলাম জামাল_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/d76e732dec814a2f8de7f8ab6aceae65_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/b59dcf58d3df4bc8bd3bc81f9dbb156f_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1fd6f41eb1294327a6dcb618837dc384_0_2.pdf?filePath=0/candidates/&format=2
4,125,রফিকুল ইসলাম জামাল,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5daf8efcbfb04c6586d0c799dfbf17be_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,রফিকুল ইসলাম জামাল_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/544002aea1354d508042c117d068ae74_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/98c6ccb0692942fc82bf3705161c4ee7_0_2.pdf?filePath=0/candidates/&format=2,রফিকুল ইসলাম জামাল_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/0ae58afdf6b9429d8106214440627a71_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ কামরুজ্জামান খান,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e607fb53c721476293dadea51f15da06_0_2.jpg?filePath=0/candidates/,জাতীয় পার্টি,মোঃ কামরুজ্জামান খান_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/c9bdba38e788451aba4797d2113272fc_0_2.pdf?filePath=0/candidates/&format=2,মোঃ কামরুজ্জামান খান_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3fe889821f35423c899d22f8be3949b1_0_2.pdf?filePath=0/candidates/&format=2,মোঃ কামরুজ্জামান খান_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1a3bae6f581e42e3bf571b1384b92e7e_0_2.pdf?filePath=0/candidates/&format=2
