party,counts,party_en
স্বতন্ত্র,455,Independent
বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,342,BNP
বাংলাদেশ জামায়াতে ইসলামী,262,Jamaat
ইসলামী আন্দোলন বাংলাদেশ,249,Islami Andolan Bangladesh
জাতীয় পার্টি,173,JaPa
গণঅধিকার পরিষদ (জিওপি),93,GOP (Nuru)
বাংলাদেশ খেলাফত মজলিস,83,Bangladesh Khelafat Majlish
খেলাফত মজলিস,67,Khelafat Majlish
বাংলাদেশের কমিউনিস্ট পার্টি,62,CPB
আমার বাংলাদেশ পার্টি (এবি পার্টি),52,AB Party
জাতীয় পার্টি - জেপি,46,JP (Manju)
ইনসানিয়াত বিপ্লব বাংলাদেশ,41,Insaniat Biplab Bangladesh
জাতীয় নাগরিক পার্টি-এনসিপি,38,NCP
বাংলাদেশের সমাজতান্ত্রিক দল-বাসদ,36,BaSaD
জাতীয় সমাজতান্ত্রিক দল-জেএসডি,29,JSD
বাংলাদেশের সমাজতান্ত্রিক দল (মার্কসবাদী),29,BaSaD (M)
বাংলাদেশ ইসলামী ফ্রন্ট,27,Bangladesh Islami Front
লিবারেল ডেমোক্রেটিক পার্টি - এলডিপি,24,LDP
ন্যাশনাল পিপলস পার্টি (এনপিপি),24,NPP
গণফোরাম,23,Gano Forum
জনতার দল,22,Janatar Dol
বাংলাদেশ সাংস্কৃতিক মুক্তিজোট (মুক্তিজোট),20,Bangladesh Sangskritik Muktijote
ইসলামিক ফ্রন্ট বাংলাদেশ,20,Islamic Front
বাংলাদেশ লেবার পার্টি,19,Bangladesh Labor Party
বাংলাদেশ সুপ্রীম পার্টি (বি.এস.পি),19,BSP
গণসংহতি আন্দোলন,18,Ganosamhati Andolon (Saki)
বাংলাদেশ মুসলিম লীগ,17,Bangladesh Muslim League
বাংলাদেশ কংগ্রেস,16,Bangladesh Congress
আমজনতার দল,15,Amjanatar Dol
বাংলাদেশ রিপাবলিকান পার্টি (বিআরপি),14,BRP
নাগরিক ঐক্য,11,Nagorik Oikko
বাংলাদেশ ন্যাশনালিস্ট ফ্রন্ট (বিএনএফ),9,BNF
বাংলাদেশের বিপ্লবী ওয়ার্কার্স পার্টি,9,Revolutionary Workers Party of Bangladesh
বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল-বাংলাদেশ জাসদ,9,Bangladesh JaSaD
বাংলাদেশ খেলাফত আন্দোলন,8,Bangladesh Khelafat Andolan
বাংলাদেশ মাইনরিটি জনতা পার্টি (বিএমজেপি),7,BMJP
জাতীয়তাবাদী  গণতান্ত্রিক আন্দোলন -এনডিএম,7,NDM
জাকের পার্টি,6,Jaker Party
বাংলাদেশ নেজামে ইসলাম পার্টি,6,Bangladesh Nejame Islam Party
জাতীয় সমাজতান্ত্রিক দল-জাসদ,6,JaSaD
জমিয়তে উলামায়ে ইসলাম বাংলাদেশ,5,Jamiat Ulama-e-Islam Bangladesh
গণফ্রন্ট,5,Gano Front
বাংলাদেশ জাতীয় পার্টি-বিজেপি,4,BJP
ইসলামী ঐক্যজোট,4,Islami Oikya Jote
বাংলাদেশ জাতীয় পার্টি,4,Bangladesh Jatiya Party
বাংলাদেশ মুসলিম লীগ-বিএমএল,3,BML
বাংলাদেশ কল্যাণ পার্টি,3,Bangladesh Kallyan Party
বাংলাদেশ ডেভেলপমেন্ট পার্টি,2,Bangladesh Development Party
গণতন্ত্রী পার্টি,1,Ganotontri Party
জাতীয় গণতান্ত্রিক পার্টি-জাগপা,1,Jagpa
বাংলাদেশ ন্যাশনাল আওয়ামী পার্টি-বাংলাদেশ ন্যাপ,1,NAP (Muzaffar)
গণ ফ্রন্ট,1,Gano Front
